,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0,0.010749340057373047,0.0004326374636054479,0.0015000104904174805,0.0004999637745878612,gini,5,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 5}",0.5659971305595409,0.5839311334289814,0.6327116212338594,0.4684361549497848,0.5627690100430416,0.059684404660066095,23
1,0.01099938154220581,0.0012252888466274454,0.0019998550415039062,0.0007077299203539105,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10}",0.5652797704447633,0.5832137733142038,0.6348637015781923,0.46628407460545196,0.5624103299856528,0.06109575470402753,24
2,0.011249303817749023,0.0008289167524610801,0.0024992823600769043,0.001118033877709799,gini,5,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20}",0.5609756097560976,0.5817790530846485,0.6319942611190817,0.46269727403156385,0.559361549497848,0.06149114287126326,25
3,0.008749246597290039,0.0008285577160093131,0.002000153064727783,4.878850443287164e-07,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 50}",0.6183644189383071,0.5846484935437589,0.6384505021520803,0.4519368723098996,0.5733500717360115,0.07268627247396311,21
4,0.00825047492980957,0.0004330502195426234,0.0019999146461486816,5.16191365590357e-07,gini,5,100,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 100}",0.5896700143472023,0.5760401721664276,0.6219512195121951,0.4964131994261119,0.5710186513629842,0.04618763083696612,22
5,0.010749399662017822,0.0008288628910487754,0.0020005106925964355,8.820681921809162e-07,gini,7,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 5}",0.6456241032998565,0.6520803443328551,0.669296987087518,0.5810616929698709,0.6370157819225252,0.03344391018921102,9
6,0.010749518871307373,0.0008292578520499094,0.002000272274017334,4.5783196376971053e-07,gini,7,10,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 10}",0.639167862266858,0.6384505021520803,0.6664275466284074,0.573170731707317,0.6293041606886657,0.034314923152413364,10
7,0.011999905109405518,0.0009996297996206192,0.002000570297241211,0.0007060441270190954,gini,7,20,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 20}",0.6111908177905309,0.693687230989957,0.6721664275466284,0.533715925394548,0.6276901004304161,0.06212313743112181,11
8,0.00975126028060913,0.0004327409645267149,0.0014991164207458496,0.0004993082871652491,gini,7,50,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 50}",0.6355810616929699,0.6154949784791965,0.6743185078909613,0.524390243902439,0.6124461979913917,0.055060309579082305,15
9,0.009749054908752441,0.0008284509164608372,0.0015009045600891113,0.0004997864036789032,gini,7,100,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 100}",0.5911047345767575,0.5882352941176471,0.6248206599713056,0.5717360114777619,0.593974175035868,0.01928218085468525,18
10,0.015249252319335938,0.0016397316600384082,0.0015016794204711914,0.000500322098330434,gini,10,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 5}",0.7044476327116213,0.7159253945480631,0.7855093256814921,0.6319942611190817,0.7094691535150646,0.054431988422077346,1
11,0.013999462127685547,0.0012236827823862396,0.0015001296997070312,0.0005012753035310036,gini,10,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 10}",0.6958393113342898,0.6915351506456241,0.7560975609756098,0.6097560975609756,0.6883070301291249,0.052040755908222734,3
12,0.013500213623046875,0.0015007264894963462,0.0015001296997070312,0.0005003229362303878,gini,10,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 20}",0.6836441893830703,0.7309899569583931,0.7381635581061693,0.5853658536585366,0.6845408895265424,0.060970071062482506,4
13,0.011499583721160889,0.0004999043334009108,0.001251220703125,0.00043277694244830815,gini,10,50,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 50}",0.6951219512195121,0.6886657101865137,0.6843615494978479,0.5796269727403156,0.6619440459110474,0.047679832594001444,7
14,0.009500384330749512,0.0005005616237755486,0.0014989972114562988,0.0005014550738295989,gini,10,100,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 100}",0.6119081779053085,0.6076040172166427,0.629842180774749,0.5703012912482066,0.6049139167862267,0.021654148107489012,16
15,0.013249576091766357,0.0021653129700486256,0.0017502903938293457,0.0004341868222422362,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 5}",0.6068866571018652,0.5573888091822095,0.5559540889526542,0.4368723098995696,0.5392754662840746,0.06257784992786054,29
16,0.01049870252609253,0.0004987141216030872,0.002750575542449951,0.0019209622268182792,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 10}",0.6068866571018652,0.5559540889526542,0.5538020086083214,0.4397417503586801,0.5390961262553803,0.061170462570492815,30
17,0.010248959064483643,0.00043191630964033016,0.0012511014938354492,0.0004338088288034953,entropy,5,20,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 20}",0.6018651362984218,0.554519368723099,0.563845050215208,0.445480631276901,0.5414275466284074,0.058164536195635205,28
18,0.010249793529510498,0.0008293656871391986,0.0017508268356323242,0.0004338087960451596,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 50}",0.6147776183644189,0.5896700143472023,0.5573888091822095,0.4519368723098996,0.5534433285509326,0.06203506134987478,27
19,0.009249091148376465,0.000433810270167818,0.0015009045600891113,0.0005003815111903947,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 100}",0.5896700143472023,0.5889526542324247,0.5509325681492109,0.4964131994261119,0.5564921090387375,0.0380619372538801,26
20,0.01350027322769165,0.0005003843795861693,0.0014989972114562988,0.0005001433769940657,entropy,7,5,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 5}",0.6893830703012912,0.642754662840746,0.5911047345767575,0.5595408895265424,0.6206958393113342,0.04954818048920299,12
21,0.013498306274414062,0.0008663756372148008,0.0017513036727905273,0.0004335319980654164,entropy,7,10,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 10}",0.6836441893830703,0.633428981348637,0.578909612625538,0.5566714490674318,0.6131635581061692,0.04935305950248041,13
22,0.013249218463897705,0.00043287860444406786,0.001000523567199707,6.194296387084284e-07,entropy,7,20,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 20}",0.6606886657101865,0.6786226685796269,0.5824964131994261,0.5286944045911047,0.6126255380200861,0.060452222470684144,14
23,0.012499749660491943,0.0005005005783901002,0.0020005106925964355,0.0007072246479878735,entropy,7,50,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 50}",0.6406025824964132,0.5968436154949784,0.5566714490674318,0.5308464849354376,0.5812410329985652,0.041564735859796836,20
24,0.01224970817565918,0.00043401392938841054,0.0015000104904174805,0.000499487108148618,entropy,7,100,"{'criterion': 'entropy', 'max_depth': 7, 'min_samples_leaf': 100}",0.6004304160688666,0.609038737446198,0.5832137733142038,0.5717360114777619,0.5911047345767575,0.01454313840223333,19
25,0.01749974489212036,0.0005006199295226572,0.0012509822845458984,0.0004326375949935384,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 5}",0.7266857962697274,0.757532281205165,0.6829268292682927,0.6212338593974175,0.6970946915351507,0.05119553178348601,2
26,0.0162503719329834,0.0019205664094666668,0.0014998316764831543,0.0004997850672858768,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 10}",0.7087517934002869,0.7352941176470589,0.6700143472022956,0.6083213773314203,0.6805954088952655,0.047749935163700095,5
27,0.016998589038848877,0.0012250941825509764,0.0020006299018859863,0.0007073933959679562,entropy,10,20,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 20}",0.693687230989957,0.7309899569583931,0.6420373027259685,0.6040172166427547,0.6676829268292683,0.048463967511576125,6
28,0.014749228954315186,0.00043232804481711595,0.0012503862380981445,0.000433257483253597,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 50}",0.6850789096126255,0.6893830703012912,0.6434720229555236,0.5774748923959828,0.6488522238163559,0.04494105106293052,8
29,0.010498762130737305,0.0011184330027662584,0.0010004043579101562,9.684608464999152e-07,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_leaf': 100}",0.6047345767575323,0.6083213773314203,0.6269727403156384,0.5703012912482066,0.6025824964131994,0.020460488804808684,17
